time,open,high,low,close,Volume,Volume MA
1643369580,87.21,87.219,87.173,87.18,86,116.1
1643369640,87.18,87.221,87.171,87.207,103,116.05
1643369700,87.207,87.221,87.2,87.22,70,113.15
1643369760,87.22,87.268,87.219,87.24,122,114.55
1643369820,87.24,87.25,87.21,87.242,64,112.35
1643369880,87.242,87.251,87.201,87.211,60,107.8
1643369940,87.211,87.222,87.198,87.205,84,104.1
1643370000,87.205,87.211,87.049,87.052,137,102.35
1643370060,87.052,87.138,87.049,87.131,131,103.65
1643370120,87.131,87.15,87.109,87.15,69,98.7
1643370180,87.15,87.151,87.101,87.134,63,95.7
1643370240,87.134,87.134,87.071,87.089,69,91.6
1643370300,87.089,87.121,87.078,87.119,92,91.35
1643370360,87.119,87.171,87.101,87.131,81,90.75
1643370420,87.131,87.191,87.131,87.16,52,88.85
1643370480,87.16,87.212,87.16,87.19,85,88.6
1643370540,87.19,87.321,87.189,87.301,144,91.6
1643370600,87.301,87.329,87.268,87.268,72,90.7
1643370660,87.268,87.28,87.229,87.24,101,90.05
1643370720,87.24,87.242,87.217,87.239,58,87.15
1643370780,87.239,87.239,87.207,87.215,68,86.25
1643370840,87.215,87.233,87.209,87.221,97,85.95
1643370900,87.221,87.23,87.168,87.168,86,86.75
1643370960,87.168,87.239,87.165,87.2,90,85.15
1643371020,87.2,87.28,87.171,87.269,81,86
1643371080,87.269,87.312,87.25,87.3,103,88.15
1643371140,87.3,87.312,87.269,87.292,146,91.25
1643371200,87.292,87.301,87.248,87.259,138,91.3
1643371260,87.259,87.269,87.229,87.229,94,89.45
1643371320,87.229,87.232,87.138,87.191,112,91.6
1643371380,87.191,87.27,87.188,87.269,143,95.6
1643371440,87.269,87.322,87.265,87.308,121,98.2
1643371500,87.308,87.349,87.289,87.319,121,99.65
1643371560,87.319,87.321,87.289,87.318,76,99.4
1643371620,87.318,87.336,87.298,87.32,77,100.65
1643371680,87.32,87.333,87.3,87.31,137,103.25
1643371740,87.31,87.311,87.269,87.28,83,100.2
1643371800,87.28,87.301,87.269,87.269,57,99.45
1643371860,87.269,87.309,87.258,87.301,59,97.35
1643371920,87.301,87.354,87.299,87.354,96,99.25
1643371980,87.354,87.42,87.348,87.399,169,104.3
1643372040,87.399,87.422,87.378,87.418,110,104.95
1643372100,87.418,87.421,87.39,87.419,105,105.9
1643372160,87.419,87.461,87.399,87.449,82,105.5
1643372220,87.449,87.449,87.409,87.42,95,106.2
1643372280,87.42,87.431,87.391,87.399,86,105.35
1643372340,87.399,87.44,87.367,87.396,98,102.95
1643372400,87.396,87.413,87.351,87.37,85,100.3
1643372460,87.37,87.391,87.349,87.379,120,101.6
1643372520,87.379,87.379,87.248,87.269,232,107.6
1643372580,87.269,87.269,87.199,87.204,156,108.25
1643372640,87.204,87.231,87.149,87.159,158,110.1
1643372700,87.159,87.211,87.139,87.159,168,112.45
1643372760,87.159,87.22,87.14,87.201,181,117.7
1643372820,87.201,87.23,87.178,87.191,108,119.25
1643372880,87.191,87.205,87.151,87.159,135,119.15
1643372940,87.159,87.162,87.121,87.138,121,121.05
1643373000,87.138,87.199,87.138,87.179,111,123.75
1643373060,87.179,87.22,87.141,87.211,166,129.1
1643373120,87.211,87.313,87.208,87.311,121,130.35
1643373180,87.311,87.369,87.281,87.347,103,127.05
1643373240,87.347,87.354,87.304,87.329,83,125.7
1643373300,87.329,87.369,87.324,87.339,103,125.6
1643373360,87.339,87.341,87.308,87.309,96,126.3
1643373420,87.309,87.312,87.219,87.221,126,127.85
1643373480,87.221,87.232,87.19,87.202,95,128.3
1643373540,87.202,87.213,87.181,87.201,73,127.05
1643373600,87.201,87.289,87.201,87.287,90,127.3
1643373660,87.287,87.308,87.269,87.281,102,126.4
1643373720,87.281,87.283,87.241,87.27,79,118.75
1643373780,87.27,87.271,87.205,87.214,101,116
1643373840,87.214,87.221,87.176,87.188,132,114.7
1643373900,87.188,87.231,87.187,87.211,118,112.2
1643373960,87.211,87.211,87.17,87.175,59,106.1
1643374020,87.175,87.221,87.139,87.198,105,105.95
1643374080,87.198,87.212,87.161,87.209,133,105.85
1643374140,87.209,87.212,87.18,87.201,68,103.2
1643374200,87.201,87.211,87.189,87.19,79,101.6
1643374260,87.19,87.21,87.18,87.19,76,97.1
1643374320,87.19,87.2,87.107,87.121,84,95.25
1643374380,87.121,87.2,87.107,87.2,109,95.55
1643374440,87.2,87.248,87.187,87.242,124,97.6
1643374500,87.242,87.271,87.229,87.271,66,95.75
1643374560,87.271,87.333,87.271,87.329,141,98
1643374620,87.329,87.367,87.28,87.319,127,98.05
1643374680,87.319,87.331,87.307,87.311,106,98.6
1643374740,87.311,87.335,87.309,87.32,81,99
1643374800,87.32,87.351,87.297,87.311,124,100.7
1643374860,87.311,87.43,87.311,87.43,157,103.45
1643374920,87.43,87.62,87.397,87.58,232,111.1
1643374980,87.58,87.72,87.571,87.7,313,121.7
1643375040,87.7,87.89,87.685,87.875,332,131.7
1643375100,87.875,87.875,87.709,87.731,317,141.65
1643375160,87.731,87.832,87.731,87.822,210,149.2
1643375220,87.822,87.831,87.709,87.72,166,152.25
1643375280,87.72,87.771,87.7,87.71,192,155.2
1643375340,87.71,87.761,87.7,87.759,151,159.35
1643375400,87.759,87.802,87.7,87.78,175,164.15
1643375460,87.78,87.801,87.701,87.731,171,168.9
1643375520,87.731,87.759,87.719,87.73,100,169.7
1643375580,87.73,87.801,87.692,87.781,172,172.85
1643375640,87.781,87.9,87.781,87.898,188,176.05
1643375700,87.898,88.07,87.888,88.06,270,186.25
1643375760,88.06,88.13,88.047,88.12,239,191.15
1643375820,88.12,88.209,88.081,88.1,247,197.15
1643375880,88.1,88.105,88.02,88.031,135,198.6
1643375940,88.031,88.071,88.018,88.059,137,201.4
1643376000,88.059,88.059,87.969,87.979,171,203.75
1643376060,87.979,87.979,87.904,87.939,109,201.35
1643376120,87.939,87.969,87.931,87.959,126,196.05
1643376180,87.959,87.98,87.896,87.91,147,187.75
1643376240,87.91,87.961,87.91,87.96,130,177.65
1643376300,87.96,87.96,87.86,87.861,136,168.6
1643376360,87.861,87.901,87.842,87.899,174,166.8
1643376420,87.899,87.939,87.871,87.922,86,162.8
1643376480,87.922,87.931,87.9,87.928,56,156
1643376540,87.928,87.931,87.903,87.908,47,150.8
1643376600,87.908,88.041,87.908,88.02,398,161.95
1643376660,88.02,88.069,87.95,88.013,327,169.75
1643376720,88.013,88.093,87.998,88.04,309,180.2
1643376780,88.04,88.071,87.966,88.032,253,184.25
1643376840,88.032,88.061,88.011,88.02,157,182.7
1643376900,88.02,88.061,88.019,88.042,146,176.5
1643376960,88.042,88.15,88.02,88.11,156,172.35
1643377020,88.11,88.15,88.09,88.131,196,169.8
1643377080,88.131,88.155,88.068,88.155,188,172.45
1643377140,88.155,88.161,88.069,88.091,149,173.05
1643377200,88.091,88.11,88.059,88.11,131,171.05
1643377260,88.11,88.19,88.099,88.189,156,173.4
1643377320,88.189,88.254,88.179,88.212,182,176.2
1643377380,88.212,88.353,88.212,88.349,169,177.3
1643377440,88.349,88.351,88.29,88.31,151,178.35
1643377500,88.31,88.36,88.257,88.27,242,183.65
1643377560,88.27,88.271,88.119,88.149,190,184.45
1643377620,88.149,88.231,88.145,88.22,146,187.45
1643377680,88.22,88.221,88.168,88.2,153,192.3
1643377740,88.2,88.222,88.137,88.18,120,195.95
1643377800,88.18,88.199,88.081,88.109,188,185.45
1643377860,88.109,88.285,88.099,88.259,179,178.05
